classe_processual,orgao_julgador,ano_ajuizamento,n
Agravo de Instrumento,GABINETE 16,2022,531
Agravo de Instrumento,GABINETE 16,2023,563
Agravo de Instrumento,GABINETE 16,2024,533
Agravo de Instrumento,GABINETE 16,2025,554
Agravo de Instrumento,GABINETE 17,2015,2
Agravo de Instrumento,GABINETE 17,2016,22
Agravo de Instrumento,GABINETE 17,2017,101
Agravo de Instrumento,GABINETE 17,2018,394
Agravo de Instrumento,GABINETE 17,2019,616
Agravo de Instrumento,GABINETE 17,2020,775
Agravo de Instrumento,GABINETE 17,2021,758
Agravo de Instrumento,GABINETE 17,2022,555
Agravo de Instrumento,GABINETE 17,2023,594
Agravo de Instrumento,GABINETE 17,2024,518
Agravo de Instrumento,GABINETE 17,2025,512
Agravo de Instrumento,GABINETE 18,2015,6
Agravo de Instrumento,GABINETE 18,2016,18
Agravo de Instrumento,GABINETE 18,2017,65
Agravo de Instrumento,GABINETE 18,2018,388
Agravo de Instrumento,GABINETE 18,2019,718
Agravo de Instrumento,GABINETE 18,2020,679
Agravo de Instrumento,GABINETE 18,2021,584
Agravo de Instrumento,GABINETE 18,2022,521
Agravo de Instrumento,GABINETE 18,2023,535
Agravo de Instrumento,GABINETE 18,2024,499
Agravo de Instrumento,GABINETE 18,2025,580
Agravo de Instrumento,GABINETE 18 - RJ PREV - TRU,2017,1
Agravo de Instrumento,GABINETE 19,2015,12
Agravo de Instrumento,GABINETE 19,2016,30
Agravo de Instrumento,GABINETE 19,2017,112
Agravo de Instrumento,GABINETE 19,2018,417
Agravo de Instrumento,GABINETE 19,2019,659
Agravo de Instrumento,GABINETE 19,2020,786
Agravo de Instrumento,GABINETE 19,2021,718
Agravo de Instrumento,GABINETE 19,2022,567
Agravo de Instrumento,GABINETE 19,2023,583
Agravo de Instrumento,GABINETE 19,2024,554
Agravo de Instrumento,GABINETE 19,2025,567
Agravo de Instrumento,GABINETE 20,2015,8
Agravo de Instrumento,GABINETE 20,2016,16
Agravo de Instrumento,GABINETE 20,2017,53
Agravo de Instrumento,GABINETE 20,2018,430
Agravo de Instrumento,GABINETE 20,2019,672
Agravo de Instrumento,GABINETE 20,2020,711
Agravo de Instrumento,GABINETE 20,2021,591
Agravo de Instrumento,GABINETE 20,2022,542
Agravo de Instrumento,GABINETE 20,2023,528
Agravo de Instrumento,GABINETE 20,2024,481
Agravo de Instrumento,GABINETE 20,2025,608
Agravo de Instrumento,GABINETE 21,2015,17
Agravo de Instrumento,GABINETE 21,2016,40
Agravo de Instrumento,GABINETE 21,2017,94
Agravo de Instrumento,GABINETE 21,2018,364
Agravo de Instrumento,GABINETE 21,2019,681
Agravo de Instrumento,GABINETE 21,2020,794
Agravo de Instrumento,GABINETE 21,2021,703
Agravo de Instrumento,GABINETE 21,2022,582
Agravo de Instrumento,GABINETE 21,2023,571
Agravo de Instrumento,GABINETE 21,2024,562
Agravo de Instrumento,GABINETE 21,2025,553
Agravo de Instrumento,GABINETE 22,2015,7
Agravo de Instrumento,GABINETE 22,2016,40
Agravo de Instrumento,GABINETE 22,2017,134
Agravo de Instrumento,GABINETE 22,2018,515
Agravo de Instrumento,GABINETE 22,2019,692
Agravo de Instrumento,GABINETE 22,2020,657
Agravo de Instrumento,GABINETE 22,2021,720
Agravo de Instrumento,GABINETE 22,2022,424
Agravo de Instrumento,GABINETE 22,2023,533
Agravo de Instrumento,GABINETE 22,2024,510
Agravo de Instrumento,GABINETE 22,2025,562
Agravo de Instrumento,GABINETE 23,2015,104
Agravo de Instrumento,GABINETE 23,2016,186
Agravo de Instrumento,GABINETE 23,2017,310
Agravo de Instrumento,GABINETE 23,2018,524
Agravo de Instrumento,GABINETE 23,2019,690
Agravo de Instrumento,GABINETE 23,2020,751
Agravo de Instrumento,GABINETE 23,2021,697
Agravo de Instrumento,GABINETE 23,2022,496
Agravo de Instrumento,GABINETE 23,2023,534
Agravo de Instrumento,GABINETE 23,2024,510
Agravo de Instrumento,GABINETE 23,2025,525
Agravo de Instrumento,GABINETE 24,2015,78
Agravo de Instrumento,GABINETE 24,2016,275
Agravo de Instrumento,GABINETE 24,2017,427
Agravo de Instrumento,GABINETE 24,2018,545
Agravo de Instrumento,GABINETE 24,2019,713
Agravo de Instrumento,GABINETE 24,2020,728
Agravo de Instrumento,GABINETE 24,2021,657
Agravo de Instrumento,GABINETE 24,2022,535
Agravo de Instrumento,GABINETE 24,2023,566
Agravo de Instrumento,GABINETE 24,2024,502
Agravo de Instrumento,GABINETE 24,2025,580
Agravo de Instrumento,GABINETE 25,2020,3
Agravo de Instrumento,GABINETE 25,2021,55
Agravo de Instrumento,GABINETE 25,2022,135
Agravo de Instrumento,GABINETE 25,2023,136
Agravo de Instrumento,GABINETE 25,2024,39
Agravo de Instrumento,GABINETE 25,2025,126
Agravo de Instrumento,GABINETE 26,2018,2
Agravo de Instrumento,GABINETE 26,2019,6
Agravo de Instrumento,GABINETE 26,2020,55
Agravo de Instrumento,GABINETE 26,2021,134
Agravo de Instrumento,GABINETE 26,2022,159
Agravo de Instrumento,GABINETE 26,2023,160
Agravo de Instrumento,GABINETE 26,2024,49
Agravo de Instrumento,GABINETE 26,2025,110
Agravo de Instrumento,GABINETE 27,2015,11
Agravo de Instrumento,GABINETE 27,2016,16
Agravo de Instrumento,GABINETE 27,2017,46
Agravo de Instrumento,GABINETE 27,2018,26
Agravo de Instrumento,GABINETE 27,2019,36
Agravo de Instrumento,GABINETE 27,2020,52
Agravo de Instrumento,GABINETE 27,2021,192
Agravo de Instrumento,GABINETE 27,2022,499
Agravo de Instrumento,GABINETE 27,2023,456
Agravo de Instrumento,GABINETE 27,2024,470
Agravo de Instrumento,GABINETE 27,2025,453
Agravo de Instrumento,GABINETE 28,2015,20
Agravo de Instrumento,GABINETE 28,2016,29
Agravo de Instrumento,GABINETE 28,2017,32
Agravo de Instrumento,GABINETE 28,2018,19
Agravo de Instrumento,GABINETE 28,2019,28
Agravo de Instrumento,GABINETE 28,2020,54
Agravo de Instrumento,GABINETE 28,2021,236
Agravo de Instrumento,GABINETE 28,2022,515
Agravo de Instrumento,GABINETE 28,2023,456
Agravo de Instrumento,GABINETE 28,2024,444
Agravo de Instrumento,GABINETE 28,2025,442
Agravo de Instrumento,GABINETE 29,2015,1
Agravo de Instrumento,GABINETE 29,2016,5
Agravo de Instrumento,GABINETE 29,2017,8
Agravo de Instrumento,GABINETE 29,2018,14
Agravo de Instrumento,GABINETE 29,2019,12
Agravo de Instrumento,GABINETE 29,2020,63
Agravo de Instrumento,GABINETE 29,2021,149
Agravo de Instrumento,GABINETE 29,2022,702
Agravo de Instrumento,GABINETE 29,2023,546
Agravo de Instrumento,GABINETE 29,2024,490
Agravo de Instrumento,GABINETE 29,2025,544
Agravo de Instrumento,GABINETE 30,2016,4
Agravo de Instrumento,GABINETE 30,2017,1
Agravo de Instrumento,GABINETE 30,2018,2
Agravo de Instrumento,GABINETE 30,2019,4
Agravo de Instrumento,GABINETE 30,2020,9
Agravo de Instrumento,GABINETE 30,2021,150
Agravo de Instrumento,GABINETE 30,2022,617
Agravo de Instrumento,GABINETE 30,2023,566
Agravo de Instrumento,GABINETE 30,2024,513
Agravo de Instrumento,GABINETE 30,2025,579
Agravo de Instrumento,GABINETE 31,2016,2
Agravo de Instrumento,GABINETE 31,2017,4
Agravo de Instrumento,GABINETE 31,2018,1
Agravo de Instrumento,GABINETE 31,2019,6
Agravo de Instrumento,GABINETE 31,2020,42
Agravo de Instrumento,GABINETE 31,2021,138
Agravo de Instrumento,GABINETE 31,2022,591
Agravo de Instrumento,GABINETE 31,2023,626
Agravo de Instrumento,GABINETE 31,2024,547
Agravo de Instrumento,GABINETE 31,2025,648
Agravo de Instrumento,GABINETE 32,2016,6
Agravo de Instrumento,GABINETE 32,2017,6
Agravo de Instrumento,GABINETE 32,2018,10
Agravo de Instrumento,GABINETE 32,2019,15
Agravo de Instrumento,GABINETE 32,2020,8
Agravo de Instrumento,GABINETE 32,2021,75
Agravo de Instrumento,GABINETE 32,2022,655
Agravo de Instrumento,GABINETE 32,2023,493
Agravo de Instrumento,GABINETE 32,2024,496
Agravo de Instrumento,GABINETE 32,2025,529
Agravo de Instrumento,GABINETE 33 - JFC,2020,1
Agravo de Instrumento,GABINETE 33 - JFC,2023,1
Agravo de Instrumento,GABINETE 33 - JFC,2024,172
Agravo de Instrumento,GABINETE 33 - JFC,2025,25
Agravo de Instrumento,GABINETE 34 - JFC,2020,2
Agravo de Instrumento,GABINETE 34 - JFC,2024,191
Agravo de Instrumento,GABINETE 34 - JFC,2025,27
Agravo de Instrumento,GABINETE 35 - JFC,2024,160
Agravo de Instrumento,GABINETE 36 - JFC,2024,186
Agravo de Instrumento,GABINETE 36 - JFC,2025,17
Agravo de Instrumento,GABINETE PRESIDÊNCIA - TRU,2018,1
Agravo de Instrumento,GABINETE PRESIDÊNCIA - TRU,2019,1
Agravo de Instrumento,GABINETE PRESIDÊNCIA - TRU,2020,5
Agravo de Instrumento,Gabinete da Vice-Presidência,2015,253
Agravo de Instrumento,Gabinete da Vice-Presidência,2016,408
Agravo de Instrumento,Gabinete da Vice-Presidência,2017,943
Agravo de Instrumento,Gabinete da Vice-Presidência,2018,1272
Agravo de Instrumento,Gabinete da Vice-Presidência,2019,393
Agravo de Instrumento,Gabinete da Vice-Presidência,2020,250
Agravo de Instrumento,Gabinete da Vice-Presidência,2021,502
Agravo de Instrumento,Gabinete da Vice-Presidência,2022,527
Agravo de Instrumento,Gabinete da Vice-Presidência,2023,795
Agravo de Instrumento,Gabinete da Vice-Presidência,2024,984
Agravo de Instrumento,Gabinete da Vice-Presidência,2025,1582
Apelação / Remessa Necessária,CORREGEDORIA,2015,1
Apelação / Remessa Necessária,CORREGEDORIA,2016,1
Apelação / Remessa Necessária,CORREGEDORIA,2017,8
Apelação / Remessa Necessária,CORREGEDORIA,2018,1
Apelação / Remessa Necessária,CORREGEDORIA,2019,1
Apelação / Remessa Necessária,Coordenadoria de Cumprimento de Diligências e Distribuição,2021,1
Apelação / Remessa Necessária,Coordenadoria de Cumprimento de Diligências e Distribuição,2024,2
Apelação / Remessa Necessária,GABINETE 01,2015,62
Apelação / Remessa Necessária,GABINETE 01,2016,31
Apelação / Remessa Necessária,GABINETE 01,2017,74
Apelação / Remessa Necessária,GABINETE 01,2018,107
Apelação / Remessa Necessária,GABINETE 01,2019,210
Apelação / Remessa Necessária,GABINETE 01,2020,202
Apelação / Remessa Necessária,GABINETE 01,2021,233
Apelação / Remessa Necessária,GABINETE 01,2022,166
Apelação / Remessa Necessária,GABINETE 01,2023,189
Apelação / Remessa Necessária,GABINETE 01,2024,16
Apelação / Remessa Necessária,GABINETE 01,2025,27
Apelação / Remessa Necessária,GABINETE 02,2015,27
Apelação / Remessa Necessária,GABINETE 02,2016,14
Apelação / Remessa Necessária,GABINETE 02,2017,20
Apelação / Remessa Necessária,GABINETE 02,2018,93
Apelação / Remessa Necessária,GABINETE 02,2019,179
Apelação / Remessa Necessária,GABINETE 02,2020,187
Apelação / Remessa Necessária,GABINETE 02,2021,266
Apelação / Remessa Necessária,GABINETE 02,2022,183
Apelação / Remessa Necessária,GABINETE 02,2023,222
Apelação / Remessa Necessária,GABINETE 02,2024,135
Apelação / Remessa Necessária,GABINETE 02,2025,43
Apelação / Remessa Necessária,GABINETE 03,2015,68
Apelação / Remessa Necessária,GABINETE 03,2016,73
Apelação / Remessa Necessária,GABINETE 03,2017,69
Apelação / Remessa Necessária,GABINETE 03,2018,126
Apelação / Remessa Necessária,GABINETE 03,2019,165
Apelação / Remessa Necessária,GABINETE 03,2020,128
Apelação / Remessa Necessária,GABINETE 03,2021,204
Apelação / Remessa Necessária,GABINETE 03,2022,171
Apelação / Remessa Necessária,GABINETE 03,2023,161
Apelação / Remessa Necessária,GABINETE 03,2024,19
Apelação / Remessa Necessária,GABINETE 03,2025,46
Apelação / Remessa Necessária,GABINETE 04,2015,30
Apelação / Remessa Necessária,GABINETE 04,2016,33
Apelação / Remessa Necessária,GABINETE 04,2017,28
Apelação / Remessa Necessária,GABINETE 04,2018,108
Apelação / Remessa Necessária,GABINETE 04,2019,177
Apelação / Remessa Necessária,GABINETE 04,2020,154
Apelação / Remessa Necessária,GABINETE 04,2021,189
Apelação / Remessa Necessária,GABINETE 04,2022,131
Apelação / Remessa Necessária,GABINETE 04,2023,185
Apelação / Remessa Necessária,GABINETE 04,2024,15
Apelação / Remessa Necessária,GABINETE 04,2025,28
Apelação / Remessa Necessária,GABINETE 05,2015,68
Apelação / Remessa Necessária,GABINETE 05,2016,95
Apelação / Remessa Necessária,GABINETE 05,2017,84
Apelação / Remessa Necessária,GABINETE 05,2018,119
Apelação / Remessa Necessária,GABINETE 05,2019,182
Apelação / Remessa Necessária,GABINETE 05,2020,247
Apelação / Remessa Necessária,GABINETE 05,2021,280
Apelação / Remessa Necessária,GABINETE 05,2022,153
Apelação / Remessa Necessária,GABINETE 05,2023,140
Apelação / Remessa Necessária,GABINETE 05,2024,164
Apelação / Remessa Necessária,GABINETE 05,2025,42
Apelação / Remessa Necessária,GABINETE 06,2015,91
Apelação / Remessa Necessária,GABINETE 06,2016,151
Apelação / Remessa Necessária,GABINETE 06,2017,90
Apelação / Remessa Necessária,GABINETE 06,2018,120
Apelação / Remessa Necessária,GABINETE 06,2019,183
Apelação / Remessa Necessária,GABINETE 06,2020,238
Apelação / Remessa Necessária,GABINETE 06,2021,249
Apelação / Remessa Necessária,GABINETE 06,2022,155
Apelação / Remessa Necessária,GABINETE 06,2023,196
Apelação / Remessa Necessária,GABINETE 06,2024,15
Apelação / Remessa Necessária,GABINETE 06,2025,28
Apelação / Remessa Necessária,GABINETE 07,2015,84
Apelação / Remessa Necessária,GABINETE 07,2016,77
Apelação / Remessa Necessária,GABINETE 07,2017,67
Apelação / Remessa Necessária,GABINETE 07,2018,113
Apelação / Remessa Necessária,GABINETE 07,2019,196
Apelação / Remessa Necessária,GABINETE 07,2020,238
Apelação / Remessa Necessária,GABINETE 07,2021,136
Apelação / Remessa Necessária,GABINETE 07,2022,92
Apelação / Remessa Necessária,GABINETE 07,2023,80
Apelação / Remessa Necessária,GABINETE 07,2024,62
Apelação / Remessa Necessária,GABINETE 07,2025,77
Apelação / Remessa Necessária,GABINETE 08,2015,101
Apelação / Remessa Necessária,GABINETE 08,2016,90
Apelação / Remessa Necessária,GABINETE 08,2017,68
Apelação / Remessa Necessária,GABINETE 08,2018,100
Apelação / Remessa Necessária,GABINETE 08,2019,166
Apelação / Remessa Necessária,GABINETE 08,2020,203
Apelação / Remessa Necessária,GABINETE 08,2021,131
Apelação / Remessa Necessária,GABINETE 08,2022,94
Apelação / Remessa Necessária,GABINETE 08,2023,61
Apelação / Remessa Necessária,GABINETE 08,2024,62
Apelação / Remessa Necessária,GABINETE 08,2025,58
Apelação / Remessa Necessária,GABINETE 09,2015,125
Apelação / Remessa Necessária,GABINETE 09,2016,117
Apelação / Remessa Necessária,GABINETE 09,2017,88
Apelação / Remessa Necessária,GABINETE 09,2018,123
Apelação / Remessa Necessária,GABINETE 09,2019,164
Apelação / Remessa Necessária,GABINETE 09,2020,240
Apelação / Remessa Necessária,GABINETE 09,2021,136
Apelação / Remessa Necessária,GABINETE 09,2022,115
Apelação / Remessa Necessária,GABINETE 09,2023,82
Apelação / Remessa Necessária,GABINETE 09,2024,87
Apelação / Remessa Necessária,GABINETE 09,2025,100
Apelação / Remessa Necessária,GABINETE 10,2015,90
Apelação / Remessa Necessária,GABINETE 10,2016,87
Apelação / Remessa Necessária,GABINETE 10,2017,88
Apelação / Remessa Necessária,GABINETE 10,2018,123
Apelação / Remessa Necessária,GABINETE 10,2019,165
Apelação / Remessa Necessária,GABINETE 10,2020,187
Apelação / Remessa Necessária,GABINETE 10,2021,122
Apelação / Remessa Necessária,GABINETE 10,2022,81
Apelação / Remessa Necessária,GABINETE 10,2023,67
Apelação / Remessa Necessária,GABINETE 10,2024,65
Apelação / Remessa Necessária,GABINETE 10,2025,69
Apelação / Remessa Necessária,GABINETE 11,2015,59
Apelação / Remessa Necessária,GABINETE 11,2016,54
Apelação / Remessa Necessária,GABINETE 11,2017,88
Apelação / Remessa Necessária,GABINETE 11,2018,127
Apelação / Remessa Necessária,GABINETE 11,2019,166
Apelação / Remessa Necessária,GABINETE 11,2020,135
Apelação / Remessa Necessária,GABINETE 11,2021,83
Apelação / Remessa Necessária,GABINETE 11,2022,72
Apelação / Remessa Necessária,GABINETE 11,2023,79
Apelação / Remessa Necessária,GABINETE 11,2024,58
Apelação / Remessa Necessária,GABINETE 11,2025,71
Apelação / Remessa Necessária,GABINETE 12,2015,105
Apelação / Remessa Necessária,GABINETE 12,2016,97
Apelação / Remessa Necessária,GABINETE 12,2017,92
Apelação / Remessa Necessária,GABINETE 12,2018,141
Apelação / Remessa Necessária,GABINETE 12,2019,160
Apelação / Remessa Necessária,GABINETE 12,2020,181
Apelação / Remessa Necessária,GABINETE 12,2021,132
Apelação / Remessa Necessária,GABINETE 12,2022,97
Apelação / Remessa Necessária,GABINETE 12,2023,87
Apelação / Remessa Necessária,GABINETE 12,2024,80
Apelação / Remessa Necessária,GABINETE 12,2025,88
Apelação / Remessa Necessária,GABINETE 13,2015,32
Apelação / Remessa Necessária,GABINETE 13,2016,22
Apelação / Remessa Necessária,GABINETE 13,2017,54
Apelação / Remessa Necessária,GABINETE 13,2018,99
Apelação / Remessa Necessária,GABINETE 13,2019,109
Apelação / Remessa Necessária,GABINETE 13,2020,94
Apelação / Remessa Necessária,GABINETE 13,2021,109
Apelação / Remessa Necessária,GABINETE 13,2022,88
Apelação / Remessa Necessária,GABINETE 13,2023,79
Apelação / Remessa Necessária,GABINETE 13,2024,60
Apelação / Remessa Necessária,GABINETE 13,2025,126
Apelação / Remessa Necessária,GABINETE 14,2015,10
Apelação / Remessa Necessária,GABINETE 14,2016,10
Apelação / Remessa Necessária,GABINETE 14,2017,12
Apelação / Remessa Necessária,GABINETE 14,2018,37
Apelação / Remessa Necessária,GABINETE 14,2019,102
Apelação / Remessa Necessária,GABINETE 14,2020,125
Apelação / Remessa Necessária,GABINETE 14,2021,108
Apelação / Remessa Necessária,GABINETE 14,2022,81
Apelação / Remessa Necessária,GABINETE 14,2023,74
Apelação / Remessa Necessária,GABINETE 14,2024,68
Apelação / Remessa Necessária,GABINETE 14,2025,133
Apelação / Remessa Necessária,GABINETE 15,2015,16
Apelação / Remessa Necessária,GABINETE 15,2016,12
Apelação / Remessa Necessária,GABINETE 15,2017,29
Apelação / Remessa Necessária,GABINETE 15,2018,69
Apelação / Remessa Necessária,GABINETE 15,2019,117
Apelação / Remessa Necessária,GABINETE 15,2020,141
Apelação / Remessa Necessária,GABINETE 15,2021,123
Apelação / Remessa Necessária,GABINETE 15,2022,79
Apelação / Remessa Necessária,GABINETE 15,2023,94
Apelação / Remessa Necessária,GABINETE 15,2024,89
Apelação / Remessa Necessária,GABINETE 15,2025,127
Apelação / Remessa Necessária,GABINETE 16,2015,5
